symbol,price,price_change,price_percent_change
RURT,301.54,-2.79,4.7%
ADEK,268.27,4.56,4.26%
UXC,31.57,6.23,0.16%
NAPN,210.24,-0.69,-2.73%
RLK,81.51,2.5,1.53%
XVY,62.8,6.78,-4.15%
LJF,10.62,-3.39,2.28%
EJKY,161.84,-0.21,-2.69%
EZXZ,324.62,-1.78,3.92%
SZX,169.47,-8.55,4.88%
LLAL,486.52,2.73,-0.49%
MZKB,233.93,2.66,4.35%
DZL,478.61,-5.1,-0.37%
UQG,309.72,9.92,-3.51%
LTJ,391.9,7.88,0.11%
LDZ,52.94,6.83,-2.07%
UKR,265.45,5.88,4.74%
HEMA,26.94,0.05,-4.56%
UOR,289.07,-7.81,1.79%
JBS,417.66,6.26,-4.15%
AKFW,182.77,-0.65,-2.79%
TES,453.65,-1.01,2.35%
KSBG,497.54,2.76,3.71%
JUL,377.17,-8.89,2.06%
EVV,269.06,4.26,-4.02%
MVJ,82.95,0.72,3.52%
EDR,44.41,-4.96,-2.52%
AOE,240.4,0.04,-2.37%
HAGL,47.08,9.86,1.78%
PNC,483.02,-7.48,-3.79%
BMM,114.26,9.81,-4.98%
CHP,132.83,8.95,4.34%
HAJL,165.41,6.99,1.75%
BPK,307.09,-1.83,2.63%
MGX,377.87,-2.55,0.4%
KZMD,34.0,6.51,-1.04%
LRL,134.66,-8.48,-2.57%
WTT,126.18,-3.62,-1.9%
TST,22.07,-4.74,0.83%
SNR,323.36,-3.05,-0.38%
SWB,412.24,4.22,-3.42%
XOQL,395.27,1.5,-4.37%
HUK,229.99,-3.44,-4.61%
QIIP,175.01,7.19,-2.17%
EDVR,27.15,-3.51,3.66%
WYDN,298.63,3.22,-4.17%
QPLZ,259.54,3.63,1.99%
DKNZ,215.24,9.78,2.99%
ZMTS,127.21,-2.49,-4.38%
FIF,160.87,-9.2,-2.44%
UMGT,305.74,4.6,3.47%
FTPN,327.95,-7.4,4.83%
ZZE,42.25,-9.38,-4.52%
ODW,216.47,5.12,-0.82%
JSMH,257.49,4.71,0.36%
CQGB,310.17,7.92,4.06%
UETB,488.72,-8.33,2.86%
INA,343.91,-4.89,-2.36%
QYG,31.96,2.27,0.34%
ZXY,247.06,1.31,0.47%
NMX,119.06,4.31,4.99%
OYWA,221.07,-6.32,4.56%
LTXT,415.4,4.3,1.5%
WTP,104.23,4.52,0.41%
XUP,89.25,-4.08,-2.24%
BSO,292.63,-2.26,-4.96%
ITK,380.09,9.97,2.57%
MDN,147.18,-1.76,3.75%
FGT,53.11,-9.11,-2.23%
OPD,348.22,6.43,-3.84%
PNG,32.23,1.98,-1.41%
PSES,180.1,4.7,-0.09%
WNV,383.37,-1.31,-3.34%
KXD,44.99,9.76,0.21%
HPJY,173.66,-10.0,-3.37%
MCZN,462.4,9.8,-4.72%
SAU,103.59,1.08,-3.59%
JEW,449.48,-9.41,2.99%
OZAF,335.09,7.05,-1.39%
MRL,185.3,-7.55,3.11%
KKI,408.73,7.96,2.49%
HUW,112.75,-9.91,-4.72%
MZRU,290.6,2.19,2.65%
AFSA,302.35,4.84,-4.98%
HLU,134.35,-5.74,2.22%
BQS,313.01,-7.81,-1.62%
JMC,399.0,-2.55,3.65%
AGBU,110.2,-2.75,-3.1%
CPN,366.38,-0.26,-2.11%
WLIJ,405.96,3.45,3.25%
HDE,271.36,0.03,-2.75%
PSX,315.13,-6.81,3.92%
PRH,64.87,6.12,-4.81%
YIK,191.42,-3.02,-2.99%
YMR,77.33,8.51,4.42%
YGXZ,145.45,7.58,-3.54%
VJSC,17.66,5.48,-0.57%
XEQ,499.97,-1.21,-1.43%
OAFZ,413.58,4.97,2.97%
GFC,243.49,4.21,-3.26%
XYG,71.03,0.41,0.76%
YOCT,49.12,6.66,-3.01%
RAM,337.43,4.51,-3.4%
TGO,114.44,9.8,1.35%
OSXZ,411.85,-5.79,-1.95%
ERZ,174.78,-6.99,1.02%
CAV,310.53,7.65,4.23%
HCL,191.78,-5.11,-3.28%
YEIY,198.06,-8.83,-3.95%
YAGW,281.34,4.87,-3.11%
HGW,420.14,-8.55,2.88%
ZHF,96.95,-2.1,2.11%
QKN,443.9,-0.95,4.91%
EFHM,114.13,0.77,-4.12%
MSV,28.09,2.23,-4.42%
ABMT,108.56,4.16,3.13%
LTI,434.41,3.42,0.97%
QED,285.17,0.85,-0.13%
FOVH,418.98,-3.04,-3.34%
SBI,299.73,3.85,3.72%
ZCAY,182.64,2.63,-3.94%
ZZWO,246.99,-5.36,-0.47%
TGA,252.03,3.15,-0.29%
JNL,20.36,-2.09,-4.59%
RAE,289.8,0.08,-4.72%
VOY,457.37,5.03,-4.37%
NJEX,497.05,-0.95,-4.77%
JHFB,208.79,-3.25,-3.9%
REEC,433.33,-4.61,-1.55%
ZFOJ,182.49,5.22,-3.22%
XBV,217.3,-4.47,-4.99%
DPLW,122.96,3.54,3.05%
ATQ,247.76,-9.03,-3.5%
RBMA,180.51,-4.42,2.8%
MVZX,232.01,-3.96,3.96%
DAE,209.91,-4.88,-0.06%
HEJ,203.15,8.6,-4.0%
YIP,101.4,-9.48,-4.61%
ORB,348.52,-2.75,3.83%
EALC,341.07,6.1,0.57%
BEVD,440.73,-1.8,-3.34%
CHT,365.61,-3.12,-3.47%
KHST,268.06,6.32,-4.01%
KIAY,201.76,-7.67,4.16%
MYHD,85.14,1.78,-0.89%
JJD,269.3,-7.67,-3.25%
JJF,226.6,9.56,4.11%
MWDE,130.45,-0.71,1.69%
WLM,21.58,-9.58,-2.11%
UBL,286.64,-1.3,-3.27%
FHMV,225.81,3.41,2.03%
IGLA,338.46,-3.92,-4.19%
HSKQ,361.57,-7.9,2.88%
WFPZ,58.28,0.36,2.53%
EIU,35.82,7.87,1.07%
HCJ,223.59,1.54,3.94%
MSL,192.31,2.27,3.16%
YZO,291.3,9.99,1.18%
UBO,201.9,6.35,-3.27%
YMN,399.53,-8.16,-1.84%
VKZ,420.06,-5.84,-3.58%
ZFL,404.76,-3.29,-1.29%
GID,206.41,0.13,-1.87%
ARD,415.75,9.81,-4.01%
JMJ,280.27,9.91,-0.92%
TPXA,229.42,6.98,-0.44%
IVFL,167.17,9.98,2.4%
JDVJ,49.2,-9.75,-4.58%
FXU,230.16,3.42,1.51%
OON,142.29,-1.6,3.56%
MSX,42.7,2.59,-0.5%
CFR,308.84,-9.4,0.97%
PLQ,449.31,-5.1,-3.72%
BRXB,44.84,-5.41,0.41%
NGW,405.31,5.65,2.39%
JRQI,224.3,6.03,0.08%
XGSY,355.36,-8.91,-3.43%
SSZJ,339.34,-7.3,4.67%
IDE,13.49,3.82,-4.51%
UNW,70.45,-1.99,-3.04%
OND,50.67,5.91,-0.76%
DXT,422.51,-3.55,-4.09%
CRON,486.88,-1.09,-4.52%
DSB,389.85,0.78,1.38%
QWWL,195.81,7.85,3.23%
LPCN,491.15,0.49,4.74%
UKU,148.4,0.27,-0.43%
XACX,246.84,-4.3,-0.96%
VAQF,474.68,-0.21,0.95%
RHWW,21.28,-0.0,-0.21%
APFM,325.26,8.89,4.4%
JTJK,242.79,-2.52,-1.91%
PAP,85.61,-4.58,-4.8%
SOXY,324.76,2.52,0.66%
DYFH,127.85,-8.21,-2.49%
RFL,395.98,-6.73,-2.1%
HSY,94.31,0.74,-0.67%
XBD,248.93,-0.93,-3.74%
HJG,34.82,-7.25,4.9%
NQV,462.43,-3.48,4.47%
UYS,436.46,5.55,1.0%
DAVI,104.3,-3.15,-0.55%
RCCV,140.67,3.85,-0.02%
WRWG,108.53,2.96,-0.91%
WUE,20.51,0.13,-3.54%
SUW,184.31,-6.9,1.01%
BNCA,48.97,-1.39,3.53%
SOAJ,249.72,2.43,0.49%
FHS,97.53,-8.53,3.74%
AKV,432.47,-1.69,-1.85%
JDA,196.25,5.35,-2.2%
NTE,119.25,2.52,-1.15%
MLX,137.5,-1.24,2.15%
QYXY,42.81,9.9,3.36%
MKNI,473.12,-8.6,-0.85%
QDL,155.01,4.74,-1.85%
GLOS,132.23,-4.07,1.99%
DCT,329.77,9.41,3.96%
FXX,420.15,7.62,-2.32%
OHP,283.51,9.19,0.79%
XBG,166.98,-9.05,0.18%
XBWC,200.35,-7.68,4.33%
RWQW,497.53,9.2,0.07%
QBN,278.36,-2.86,3.89%
DGZ,365.36,-5.63,0.7%
ARZN,434.02,7.24,-0.67%
UICU,417.41,-9.69,-4.69%
XBRX,261.57,-5.05,-0.89%
ACJ,226.07,8.42,-3.84%
SRF,60.63,5.47,3.66%
KLGU,80.84,4.06,-0.86%
EZP,51.29,-2.11,1.62%
SSWN,121.24,3.84,-0.42%
PDIR,322.58,0.16,-3.15%
CDQP,154.36,-2.58,-1.46%
OZP,292.73,9.86,-2.02%
WSW,187.1,6.27,-3.16%
QYT,361.68,2.77,-1.7%
HWT,228.05,1.05,4.47%
NOFH,278.96,1.63,4.32%
UIP,12.18,0.22,4.99%
ZADO,156.58,-4.83,2.07%
NYUX,415.04,8.53,4.06%
EHG,235.88,5.7,3.88%
PEO,454.95,2.21,2.04%
XIB,377.0,9.17,-1.67%
TEAA,331.54,7.31,4.43%
KKS,35.23,7.29,-4.89%
YUU,30.52,-8.65,3.75%
QKK,130.99,-4.98,0.2%
JDW,387.54,-9.32,3.86%
AHLW,356.74,-6.05,-4.82%
EAI,122.83,-4.5,3.48%
PNJ,415.08,1.73,3.79%
WZP,145.29,-8.18,-3.44%
EGZ,396.71,-0.77,2.03%
GBUV,357.43,-8.3,-0.92%
XNGI,16.65,-9.98,-4.85%
QIQB,326.15,6.92,-0.2%
DYR,448.71,6.0,1.66%
QGXC,460.29,-0.9,4.72%
TIZN,485.09,4.66,0.01%
IOHG,478.74,-8.72,-0.41%
DZXQ,103.06,-5.08,-2.44%
FOQ,359.55,-1.16,-4.3%
YVBO,16.87,2.77,-4.19%
XAVO,269.98,3.24,4.91%
FSEH,119.79,-9.37,-1.05%
VXM,339.36,-0.01,-0.29%
QCGP,482.18,-0.07,-0.83%
FSR,124.98,9.41,0.67%
YQU,179.17,-5.37,-4.62%
MYO,256.8,-0.19,-2.73%
LLO,319.2,5.61,-3.22%
WTBL,356.02,8.9,-4.66%
WWRF,371.62,-0.98,0.59%
EXIO,214.13,-1.48,-2.43%
DGU,152.51,9.97,2.55%
QZH,151.45,4.79,-0.54%
JVG,409.02,5.85,2.66%
DIC,424.02,-4.33,4.26%
PRP,253.93,-7.58,2.87%
YBMB,121.99,-0.24,-2.47%
OBJI,401.84,-0.79,-3.2%
KOUQ,114.3,0.0,0.18%
SWI,240.92,7.14,-0.78%
BAR,93.84,5.97,4.9%
CPQ,422.5,1.87,-3.04%
YTVA,64.37,0.07,4.24%
UWFP,334.77,5.59,4.56%
ARJ,179.52,9.04,-2.01%
AGAJ,127.92,2.84,3.92%
DADP,230.97,-5.96,-1.99%
HHJ,206.33,1.63,-4.11%
XQMT,324.18,4.91,-1.73%
AWMY,51.81,3.75,-1.25%
NTS,84.54,-2.63,3.96%
RVDX,106.18,-7.42,2.73%
HXE,207.21,1.62,-3.11%
RYYA,161.07,4.78,-1.61%
JRTS,410.87,-7.72,1.0%
AHSG,266.97,5.46,4.85%
DNCZ,427.24,3.93,2.15%
WCVP,32.41,-2.56,-4.54%
TBY,51.62,3.7,-0.27%
SWFE,452.28,-7.73,-1.16%
JIUK,204.39,-6.69,-0.69%
MOY,141.66,-4.54,-0.29%
SBK,162.52,7.43,3.78%
VOVD,335.56,-0.59,2.32%
OIMZ,328.94,-3.14,2.73%
QEFT,341.54,-2.18,-1.07%
SHXB,237.08,-7.77,2.01%
GQE,289.97,8.43,-4.09%
DBT,109.72,5.89,1.8%
SKTH,103.61,-8.58,4.88%
VFGF,216.52,-7.8,-2.52%
CSD,370.44,7.53,-0.3%
UDG,499.45,4.68,-4.09%
QDFG,69.6,9.36,-3.31%
HVR,472.65,-8.68,-4.9%
VWM,151.86,0.13,0.45%
IGT,303.19,-1.71,3.18%
QISB,227.08,-2.84,-2.76%
NLJ,179.1,4.35,-3.23%
TTBI,210.03,-5.59,1.3%
OHO,179.44,-3.13,-0.27%
ZSX,401.32,-2.83,2.77%
ZZSJ,92.36,0.32,2.15%
RYW,107.95,-5.2,1.28%
ZDD,289.38,5.85,1.46%
VOL,351.7,-2.79,1.86%
ZDK,114.87,0.28,-0.41%
GWKG,343.29,7.68,-3.96%
SVV,275.24,8.07,-2.33%
JAS,403.73,-3.6,2.51%
NSR,169.84,6.74,-0.95%
XJJS,165.84,9.07,-0.56%
CITQ,294.61,-3.47,2.64%
KPGQ,121.19,-5.75,-1.26%
HXXJ,220.05,6.68,-3.31%
YBSY,12.18,-9.2,-4.77%
RHGT,233.69,-4.62,1.27%
KPAS,225.5,-2.98,2.94%
ECA,31.27,6.67,-4.93%
NNOD,180.78,2.79,-2.98%
LAQO,367.77,2.32,2.37%
HUJS,266.58,9.69,4.46%
JAK,179.78,0.97,-3.02%
ZLJC,209.61,-0.83,3.5%
WFJO,179.42,8.43,-3.78%
YKV,490.62,-9.54,4.83%
ZCPF,232.07,5.93,0.13%
UCK,335.75,-9.07,-2.55%
RRXP,48.24,-5.04,4.01%
JUE,461.28,3.21,0.88%
DKA,304.27,0.6,-4.99%
UTPV,388.53,1.72,2.16%
GSFU,109.47,-2.06,2.52%
WUBO,201.3,-5.49,-1.24%
QINA,180.62,8.9,4.72%
IJE,100.52,6.93,2.0%
KDT,323.84,-4.49,-0.1%
TXIN,445.73,0.02,-4.67%
HOEA,380.7,3.03,-1.97%
LXMT,457.75,-9.79,-4.71%
OMMG,369.76,-4.49,-1.05%
RUCU,217.54,-0.22,0.47%
FVG,119.23,1.22,-4.27%
CKM,125.53,-8.85,-1.23%
OUV,30.88,4.71,-3.31%
KPZR,118.71,-2.45,0.05%
YJR,10.26,-2.43,-4.39%
KYVG,222.09,-7.9,1.78%
YZTU,391.64,-0.33,4.83%
ZPG,25.85,9.03,-3.0%
VWPN,253.36,6.78,3.76%
XOAU,256.79,6.2,-3.81%
STXH,286.63,9.23,-2.51%
HWZK,413.31,0.59,1.34%
PXZX,205.47,-9.13,1.14%
XMBF,221.48,-1.42,-4.78%
ORTY,369.8,-7.22,-0.97%
FNYL,308.75,-7.39,4.0%
VKQV,478.28,4.69,-0.22%
UEWN,186.18,-0.9,3.15%
GVC,374.17,1.2,0.32%
JKAJ,133.39,7.71,-3.54%
YHRM,235.23,0.22,-2.08%
ALXU,378.76,-9.32,-2.92%
AYY,457.9,6.17,2.37%
STQE,378.36,-3.77,4.32%
NERG,148.76,-5.57,-0.11%
PTDO,457.91,-9.02,2.27%
FHKH,31.4,4.78,-0.94%
EKDA,435.18,1.04,-4.64%
OOK,219.15,-8.09,0.68%
XNE,166.47,-4.37,-3.09%
WVQG,499.51,5.15,-0.68%
ORQ,461.93,-1.32,3.59%
HIJ,26.48,1.36,-0.49%
LNQ,477.81,-0.34,4.32%
POLB,32.43,1.56,-0.19%
NREF,128.38,-2.0,2.28%
LWE,345.63,-0.62,4.82%
EUE,199.81,-7.23,-3.27%
KHHQ,325.92,-2.02,-1.15%
UIJL,327.72,-4.5,-2.67%
XXRR,156.97,0.99,3.22%
HRY,359.23,2.51,-4.6%
GNPT,323.48,6.66,4.18%
MVT,115.38,-3.03,-2.32%
UTN,73.94,6.26,1.72%
RKBA,369.39,7.36,-4.4%
HBWA,162.24,1.7,-0.03%
VFZW,102.86,1.09,-0.74%
HMXF,498.18,-4.34,2.62%
DPE,342.25,1.54,3.48%
ONJ,199.22,3.49,0.65%
WFY,127.81,2.59,0.87%
MPJ,79.63,-8.55,-2.82%
TUPU,379.83,-2.09,4.2%
NZYE,250.53,-7.32,-0.96%
JPQQ,377.99,-4.78,-3.5%
TBQ,10.73,-4.08,0.96%
BQR,48.81,-8.75,1.15%
BYTA,457.61,1.65,2.16%
CVBY,159.95,-8.38,-0.98%
FGPM,76.11,-0.04,4.92%
QYMO,14.67,-7.49,3.99%
UXNG,493.96,4.65,0.87%
NYEV,62.87,-6.0,4.23%
MXB,413.51,-9.06,3.23%
FGB,322.55,-9.99,3.49%
CHU,290.74,-1.78,-3.53%
FOE,396.23,3.52,-2.1%
RIA,313.7,2.1,-3.22%
DUYC,55.5,7.96,4.74%
FVDQ,67.77,-8.72,4.45%
FKJL,137.84,-0.28,-0.99%
GWA,326.1,-3.04,-0.09%
KIXS,400.53,1.57,4.1%
CEC,279.13,-7.08,-2.67%
TASM,485.27,-4.67,1.49%
YCZS,442.89,-8.75,1.73%
CFGZ,242.61,-2.77,-3.4%
SJVD,118.11,-7.19,-2.65%
LCV,117.08,-2.31,-0.13%
XXEO,127.61,4.0,-3.98%
CJQ,412.22,2.11,2.07%
OTXA,100.83,5.39,0.94%
THH,104.22,4.4,0.0%
RYH,210.59,1.99,2.92%
BHYH,106.68,6.8,4.97%
PGC,108.64,-7.42,4.8%
RNG,137.96,-2.9,0.46%
NMV,294.33,-4.97,-4.7%
HSC,147.55,3.8,3.57%
QIAQ,32.11,-6.98,-2.7%
SSPB,109.89,-1.29,-3.86%
UZG,243.66,5.4,3.25%
GAI,162.25,3.04,2.49%
STY,273.65,2.96,-4.19%
JES,114.79,2.91,1.29%
IVC,17.24,-4.76,4.48%
YAEA,450.39,3.25,4.55%
SFIP,59.62,-6.48,4.28%
HZME,470.08,2.95,-0.71%
PTL,150.89,-5.66,-4.37%
DNSJ,484.8,-0.25,-4.57%
CTYV,277.46,-1.29,-3.28%
PGQ,382.76,-0.19,-2.84%
KCXW,329.04,-5.87,0.69%
FCOJ,154.03,0.7,3.02%
RCVJ,308.95,0.97,-3.35%
GZE,353.51,-3.79,-1.98%
VYLR,365.98,-1.82,-4.41%
FXY,398.9,-4.78,-2.34%
EGX,390.64,-0.67,2.5%
WIG,53.52,-7.54,-4.76%
UABX,15.47,0.2,-1.49%
SWOI,56.86,-0.56,1.99%
WVR,497.24,-2.46,4.36%
OPY,365.64,2.65,-3.86%
GIP,88.46,-0.32,-0.46%
KXQ,197.4,3.31,2.36%
DCUY,445.17,6.31,-3.6%
RYZZ,72.29,-8.71,3.15%
TVK,247.1,-9.0,-0.63%
AVS,453.85,-5.15,2.45%
STMW,188.87,-9.21,-3.83%
YFPM,96.29,3.92,-0.51%
DWFQ,314.78,0.89,0.92%
UEY,182.31,-5.28,-2.5%
GXHG,393.59,7.42,0.32%
RFXH,150.89,-6.1,-2.45%
WEG,364.63,1.3,3.12%
IPDE,32.56,-9.62,3.94%
BPAC,126.81,-9.09,0.69%
YBW,326.95,8.35,0.64%
AVES,302.94,1.63,1.12%
FKRT,303.49,-4.34,-0.66%
UYNF,156.42,-0.86,-1.07%
UQIC,379.83,-6.5,-0.08%
PJKV,260.85,-2.45,0.26%
NSK,126.55,9.95,4.62%
WNU,55.03,-6.28,4.91%
EAYO,59.06,7.55,-3.79%
GLOE,479.62,4.6,-3.06%
TJKR,72.72,3.45,2.66%
FKYF,395.07,-4.51,-3.29%
UQRY,77.71,1.2,-2.24%
IZLP,84.21,-7.0,0.98%
ISQ,79.19,-1.11,3.39%
YLXL,119.2,-0.17,3.14%
WXY,247.27,2.75,4.37%
WNTX,135.8,4.59,-4.27%
NZOT,321.59,-7.35,1.22%
SWMT,290.46,-4.01,1.99%
BQI,167.17,-6.43,4.16%
SGXJ,299.3,-6.34,2.32%
MOF,167.25,-1.47,1.34%
YNKU,387.09,-6.19,3.46%
DSHT,400.66,-4.65,1.43%
AVQD,406.84,8.89,2.18%
VLMI,373.53,-6.45,0.12%
OPK,467.91,-0.94,-1.74%
DEYU,373.85,2.46,-4.72%
OLAB,91.9,0.1,-2.2%
KJY,269.37,8.51,-1.34%
IGYR,343.27,3.63,4.01%
BULX,341.88,-4.22,2.38%
FWVM,103.66,-4.85,-3.6%
BYF,255.47,-2.65,-4.06%
BQSK,219.65,5.29,-2.32%
TXZN,430.87,6.15,2.61%
JHO,16.95,7.8,4.6%
ZIT,217.91,1.42,2.53%
LCA,272.74,0.76,1.64%
YGIB,136.88,1.17,-3.66%
BLNH,273.17,-2.15,-2.51%
EBHB,14.07,2.3,0.51%
TRBS,298.32,5.98,-0.61%
SQR,149.18,-3.92,-3.09%
OAHI,199.53,-8.71,-0.88%
GVRF,298.29,4.72,0.8%
PSP,357.62,-5.35,2.71%
ISSS,130.2,8.65,1.86%
RGLP,493.57,0.51,2.31%
ZAF,14.95,-2.33,-1.13%
SNKZ,433.14,-7.41,4.5%
GFNW,116.84,-2.73,1.98%
KXXA,393.26,-5.95,-3.53%
DRI,39.02,-6.96,-0.39%
UKLI,385.11,8.75,-2.03%
IOWZ,319.23,1.26,2.38%
EAX,74.44,-4.98,-3.45%
HAW,202.52,-6.29,2.29%
YRZ,130.94,-4.86,4.88%
PDIZ,211.42,3.35,-4.04%
RKEU,315.45,-3.04,1.32%
MQO,274.38,-4.0,-3.49%
DUXI,471.75,2.65,3.75%
ZMX,204.4,9.96,-1.85%
BHJ,479.92,7.29,-2.13%
IYM,328.41,7.93,5.0%
KFG,448.55,0.18,-4.68%
QPL,110.61,-9.72,2.27%
IBSF,98.14,1.3,4.25%
ZAL,399.84,-7.26,3.57%
UEI,431.4,-0.2,1.51%
CVO,366.69,1.52,4.49%
ETK,315.89,9.21,-4.25%
BIY,404.13,-2.8,0.13%
MIF,110.39,-9.32,0.32%
NSJZ,180.95,0.51,3.93%
YAW,30.9,-7.18,-3.11%
YRF,264.16,7.18,3.53%
TOHQ,391.47,5.23,-0.69%
RVFK,328.5,-0.06,3.88%
CQX,325.87,7.51,-3.08%
CGHR,279.05,0.47,-2.48%
FDZ,356.07,0.49,-2.15%
QSCU,200.54,-9.68,-3.22%
RHGE,10.24,0.94,-4.94%
GAHK,277.58,0.27,1.78%
CQA,45.13,-7.45,-3.25%
LHG,408.36,4.73,4.51%
ZWO,56.48,4.67,4.29%
FPE,67.68,-0.5,-0.21%
YUJ,211.96,6.97,3.92%
AQTR,468.99,-5.85,0.36%
GXH,239.18,3.87,4.52%
DYO,311.41,-1.9,4.14%
EWBA,332.8,5.66,0.28%
DZCW,151.04,-6.71,-1.11%
JVF,362.77,0.88,-3.82%
RGP,317.65,9.27,4.54%
BYC,384.52,-5.12,3.65%
VPNP,444.46,2.81,2.01%
XWV,268.93,7.25,1.84%
KPGY,151.73,2.1,-0.48%
GLS,207.27,0.91,0.68%
ZUF,212.8,8.05,0.46%
NQXI,30.46,-3.14,-0.33%
QSY,399.65,-6.83,-4.81%
PNL,96.73,4.48,-1.63%
WMV,414.86,-8.13,3.71%
KAQP,432.0,-8.38,-4.38%
NLTE,267.22,0.43,-3.07%
LAL,277.25,6.35,1.01%
FRX,26.4,2.75,0.19%
UBZ,486.55,8.84,-3.43%
PCI,429.46,-1.4,-2.09%
QUX,211.35,-0.5,-2.35%
DNXI,163.55,8.79,-2.36%
LEDS,68.74,-1.37,0.99%
VTZQ,91.16,-5.48,1.59%
IAG,200.78,-2.55,1.86%
XZRS,177.81,7.6,1.9%
JYEP,143.66,-7.29,2.49%
NGXH,321.66,3.66,-1.67%
JJZ,24.3,6.25,-3.18%
FOJ,257.17,-1.06,4.06%
MYJG,487.89,-7.4,-3.83%
ORR,162.36,6.22,-3.56%
RZXJ,291.14,-9.94,-1.55%
HIMU,199.16,-3.45,3.21%
ZOZD,88.83,5.9,-2.34%
JEA,215.22,-8.74,-3.57%
MLNF,271.62,-6.66,1.69%
MAYO,116.08,-2.25,-1.22%
LLZ,244.79,8.38,1.53%
TFDW,370.3,4.77,-1.76%
VPVU,219.3,4.62,-2.06%
IVRM,289.77,-2.42,-2.94%
DVHA,105.63,2.68,-4.29%
ZLY,205.03,3.12,2.82%
LDZD,359.64,8.35,-4.14%
JVX,355.69,-1.56,-2.17%
PMY,235.69,3.99,2.62%
XCP,245.22,4.75,3.8%
IQWT,181.58,7.87,4.73%
DOQ,273.85,-9.13,-2.52%
YIO,342.57,4.62,4.09%
YLY,299.2,5.59,3.89%
XYL,454.56,6.86,-4.51%
TGM,459.0,-6.48,3.78%
TBT,489.09,-7.79,-1.42%
ZSIL,465.59,3.36,-1.79%
EKW,317.09,3.49,-1.52%
APQH,200.58,6.94,0.66%
QSKP,282.25,7.35,-4.35%
VXD,213.77,-4.82,-4.45%
XNY,206.8,-1.69,4.4%
SZH,239.53,1.36,4.05%
FRJT,246.02,4.03,-0.86%
TZH,379.05,4.63,1.09%
IKBI,398.58,-1.45,-0.09%
IND,107.93,-5.43,-1.26%
ELMC,388.17,5.8,2.75%
JZTN,273.03,3.65,-1.68%
LHBP,329.37,7.12,4.32%
ZOS,109.01,1.29,0.73%
VZFB,263.9,8.04,-4.83%
AHQ,138.04,-8.37,-2.46%
TIOH,359.26,8.74,2.79%
YTW,78.72,6.38,-2.0%
NWTX,283.6,-7.21,-2.78%
PBBK,415.0,-6.2,-2.61%
BZF,207.04,9.99,-2.18%
JZXN,271.21,-4.91,4.65%
MHVS,464.96,7.87,-4.98%
EOHF,221.15,-0.79,-3.25%
IHR,393.86,9.54,0.79%
DOCP,492.93,-0.25,-4.26%
EGM,62.54,-9.4,-4.57%
NKIA,224.72,-5.68,-4.26%
RKO,268.99,4.07,0.02%
ATOB,453.04,2.75,1.47%
STNJ,199.26,-5.2,1.22%
SPR,29.87,-1.39,2.02%
LTYB,11.73,-1.81,-4.02%
TWO,165.4,-2.18,3.23%
BFK,497.63,9.03,4.42%
UILC,469.6,9.1,-1.8%
YZF,48.5,0.94,2.64%
IVRK,141.02,-8.58,-2.18%
IJC,69.45,7.54,0.04%
UAZ,358.97,-2.54,-0.9%
UEU,471.01,4.3,0.25%
CCYT,485.77,7.05,-0.03%
TRCS,34.13,5.83,-2.34%
AYA,152.07,-2.35,3.46%
BLRN,472.29,5.46,-1.74%
CFW,218.87,2.18,3.37%
FAKK,366.87,0.13,-3.71%
OBKG,163.39,-1.42,4.37%
LXWC,453.0,-5.75,-4.58%
YMM,310.88,-9.27,-0.34%
MDT,497.65,1.7,-2.6%
ESYZ,279.49,-8.83,-4.35%
NLI,236.67,8.98,4.27%
GYOC,275.09,-8.33,-3.51%
CYC,470.13,3.55,-1.22%
ZME,491.13,3.81,0.95%
RFMU,177.94,5.72,4.96%
GUL,13.49,1.57,-2.74%
NWVX,418.47,-7.68,1.25%
NLO,41.55,7.72,-2.72%
OPRT,42.83,-3.46,4.03%
RTOJ,497.79,-4.62,-2.09%
RQW,225.88,-7.61,4.07%
UGE,108.89,7.34,-3.75%
TUD,417.49,-6.2,1.42%
JMUV,451.38,6.96,-4.11%
PCJ,73.49,-1.78,-3.87%
ITQL,244.18,-8.7,-3.43%
ACI,110.15,1.14,3.04%
WGVZ,64.74,-5.19,3.94%
JIN,127.97,-3.98,1.67%
SJS,218.68,-3.75,-2.24%
TQUC,152.94,2.16,3.65%
BFFE,18.18,9.13,0.24%
QLA,55.45,-2.19,-4.17%
LFTU,83.35,9.75,-4.23%
ZPD,281.9,7.45,-2.81%
UENB,185.8,7.44,2.6%
XCL,311.98,-8.77,0.69%
UYMG,315.3,-9.25,4.58%
KTOG,119.61,5.35,-3.44%
JNI,46.36,9.63,-0.81%
AAU,225.46,-6.77,4.41%
ZFHG,226.22,3.92,4.79%
PVN,412.82,-1.33,1.75%
LETP,494.25,-0.78,-1.01%
FBMS,290.34,-9.98,3.92%
PVTL,471.99,-8.9,4.17%
PQA,419.43,-8.41,-3.48%
IPPJ,50.23,3.49,1.73%
ACT,256.69,-2.44,4.8%
IRC,389.26,4.6,-3.56%
BPQ,238.53,-2.82,0.15%
NDK,154.53,-8.37,-3.97%
QLKI,311.59,2.17,2.29%
BDES,88.27,-8.72,4.34%
ZTEY,46.04,-2.91,-0.92%
GIYA,338.68,-6.81,3.3%
HLUR,43.99,3.57,-3.29%
OKP,455.07,5.26,-3.29%
NSCD,162.59,-0.23,2.16%
